Efectuar lo acordado,84
Imprudencias letales,84
Misfire,82
Caballo de Troya,83
El día de la marmota,84
La cálida Guerra Fría,83
Refrigerada inestabilidad,84
Tú lo has buscado,82
El que la sigue la consigue,87
Se acabaron las máscaras,86
La cabeza del plan,85
Cuestión de eficacia,88
¿Qué hemos hecho?,88
A contrarreloj,88
Bella ciao,94
We're Back,83
Aikido,84
48 Meters Underground,84
It's Dolphin Time,81
"Boom, Boom, Ciao",81
Everything Seemed Insignificant,83
A Quick Vacation,85
Astray,95
Game Over,75
Berlin's Wedding,72
Anatomy Lesson,71
Pasodoble,77
5 Minutes Earlier,72
TKO,76
Strike the Tent,83
The Paris Plan ,83
The End of the Road,75
Do You Believe in Reincarnation?,71
Welcome to the Spectacle of Life,73
Your Place in Heaven,78
Live Many Lives,84
